date,organization,spend_amount,topic
10-01-2025,INDIANA HOUSING AND COMMUNITY DEVELOPMENT AUTHORITY,90475386.0,energy infrastructure
09-30-2025,LAKE COUNTY GOVERNMENT CENTER,307890.0,energy infrastructure
09-30-2025,STATE OF INDIANA,2448930.0,energy infrastructure
09-30-2025,TRUSTEES OF INDIANA UNIVERSITY,4019152.0,energy infrastructure
09-30-2025,STATE OF INDIANA,9496380.0,energy infrastructure
09-29-2025,TRUSTEES OF INDIANA UNIVERSITY,875000.0,energy infrastructure
09-29-2025,CITY OF EVANSVILLE,172120.0,energy infrastructure
09-29-2025,STATE OF INDIANA,90772430.0,energy infrastructure
09-29-2025,PURDUE UNIVERSITY,299869.0,energy infrastructure
09-26-2025,INDIANA HOUSING AND COMMUNITY DEVELOPMENT AUTHORITY,10914564.0,energy infrastructure
09-25-2025,PURDUE UNIVERSITY,1187451.0,energy infrastructure
09-25-2025,PURDUE UNIVERSITY,4036148.0,energy infrastructure
09-23-2025,STATE OF INDIANA,1485040.0,energy infrastructure
09-23-2025,PURDUE UNIVERSITY,874998.16,energy infrastructure
09-23-2025,PURDUE UNIVERSITY,875000.0,energy infrastructure
09-23-2025,UNIVERSITY OF NOTRE DAME DU LAC,74043528.0,energy infrastructure
09-22-2025,UNIVERSITY OF NOTRE DAME DU LAC,500000.0,energy infrastructure
09-19-2025,PURDUE UNIVERSITY,1189454.0,energy infrastructure
09-19-2025,LUTHERAN UNIVERSITY ASSOCIATION INC,1304000.0,energy infrastructure
09-19-2025,PURDUE UNIVERSITY,999523.0,energy infrastructure
09-18-2025,PURDUE UNIVERSITY,2230000.0,energy infrastructure
09-18-2025,PURDUE UNIVERSITY,6248126.0,energy infrastructure
09-18-2025,PURDUE UNIVERSITY,8861243.0,energy infrastructure
09-17-2025,PURDUE UNIVERSITY,1737577.0,energy infrastructure
09-12-2025,CUMMINS INC,1832593.0,energy infrastructure
09-10-2025,UNIVERSITY OF NOTRE DAME DU LAC,625000.0,energy infrastructure
09-10-2025,UNIVERSITY OF NOTRE DAME DU LAC,656000.0,energy infrastructure
09-10-2025,UNIVERSITY OF NOTRE DAME DU LAC,1287554.0,energy infrastructure
09-09-2025,TRUSTEES OF INDIANA UNIVERSITY,7587000.0,energy infrastructure
09-09-2025,TRUSTEES OF INDIANA UNIVERSITY,741000.0,energy infrastructure
09-09-2025,TRUSTEES OF INDIANA UNIVERSITY,754321.0,energy infrastructure
09-05-2025,PURDUE UNIVERSITY,753768.0,energy infrastructure
09-05-2025,PURDUE UNIVERSITY,2482020.0,energy infrastructure
09-05-2025,PURDUE UNIVERSITY,400000.0,energy infrastructure
09-04-2025,PURDUE UNIVERSITY,1400000.0,energy infrastructure
09-03-2025,TRUSTEES OF INDIANA UNIVERSITY,933966.0,energy infrastructure
09-02-2025,STATE OF INDIANA,13883124.0,energy infrastructure
09-01-2025,UNIVERSITY OF NOTRE DAME DU LAC,975780.0,energy infrastructure
08-27-2025,PURDUE UNIVERSITY,248690.26,energy infrastructure
08-21-2025,PURDUE UNIVERSITY,1802747.6,energy infrastructure
08-20-2025,TRUSTEES OF INDIANA UNIVERSITY,4950000.0,energy infrastructure
08-20-2025,PURDUE UNIVERSITY,1094000.0,energy infrastructure
08-17-2025,PURDUE UNIVERSITY,5994985.0,energy infrastructure
08-15-2025,PURDUE UNIVERSITY,2165000.0,energy infrastructure
08-15-2025,PURDUE UNIVERSITY,1497337.0,energy infrastructure
08-15-2025,PURDUE UNIVERSITY,1199974.0,energy infrastructure
08-14-2025,PURDUE UNIVERSITY,253968.0,energy infrastructure
08-14-2025,UNIVERSITY OF NOTRE DAME DU LAC,300000.0,energy infrastructure
08-14-2025,PURDUE UNIVERSITY,2065072.0,energy infrastructure
08-11-2025,PURDUE UNIVERSITY,7158034.0,energy infrastructure
08-07-2025,UNIVERSITY OF NOTRE DAME DU LAC,450000.0,energy infrastructure
08-05-2025,TRUSTEES OF INDIANA UNIVERSITY,1250000.0,energy infrastructure
08-04-2025,PURDUE UNIVERSITY,25000.0,energy infrastructure
08-01-2025,CUMMINS INC,2700000.0,energy infrastructure
08-01-2025,PURDUE UNIVERSITY,1175000.0,energy infrastructure
07-31-2025,PURDUE UNIVERSITY,248958.0,energy infrastructure
07-30-2025,CARBON SOLUTIONS LLC,2499984.0,energy infrastructure
07-28-2025,HOOSIER ENERGY RURAL ELECTRIC COOPERATIVE INC,102785519.0,energy infrastructure
07-23-2025,PURDUE UNIVERSITY,640000.0,energy infrastructure
07-23-2025,CUMMINS INC,2850000.0,energy infrastructure
07-22-2025,PURDUE UNIVERSITY,2260617.0,energy infrastructure
07-18-2025,PURDUE UNIVERSITY,1498526.74,energy infrastructure
07-17-2025,HEIDELBERG MATERIALS US INC,500000000.0,energy infrastructure
07-17-2025,"DUKE ENERGY INDIANA, LLC",8192430.0,energy infrastructure
07-16-2025,PURDUE UNIVERSITY,800000.0,energy infrastructure
07-15-2025,PURDUE UNIVERSITY,639980.0,energy infrastructure
07-15-2025,CUMMINS INC,1700000.0,energy infrastructure
07-14-2025,CUMMINS INC,4998714.0,energy infrastructure
07-14-2025,TRUSTEES OF INDIANA UNIVERSITY,1099080.0,energy infrastructure
07-12-2025,PURDUE UNIVERSITY,512020.0,energy infrastructure
07-12-2025,PURDUE UNIVERSITY,900000.0,energy infrastructure
07-10-2025,UNIVERSITY OF NOTRE DAME DU LAC,400000.0,energy infrastructure
07-09-2025,UNIVERSITY OF NOTRE DAME DU LAC,481948.0,energy infrastructure
07-07-2025,LINDE ADVANCED MATERIAL TECHNOLOGIES INC.,32070.61,energy infrastructure
07-03-2025,TRUSTEES OF INDIANA UNIVERSITY,874694.0,energy infrastructure
07-02-2025,PURDUE UNIVERSITY,510000.0,energy infrastructure
07-02-2025,PURDUE UNIVERSITY,1250000.0,energy infrastructure
07-02-2025,PURDUE UNIVERSITY,1264000.0,energy infrastructure
06-30-2025,PURDUE UNIVERSITY,1780000.0,energy infrastructure
06-29-2025,TRUSTEES OF INDIANA UNIVERSITY,1356131.0,energy infrastructure
06-27-2025,STATE OF INDIANA,3405498.34,energy infrastructure
06-27-2025,PURDUE UNIVERSITY,911308.0,energy infrastructure
06-25-2025,WABASH NATIONAL CORP,1863725.0,energy infrastructure
06-25-2025,PURDUE UNIVERSITY,500000.0,energy infrastructure
06-24-2025,PURDUE UNIVERSITY,2460613.06,energy infrastructure
06-24-2025,PURDUE UNIVERSITY,2930740.0,energy infrastructure
06-20-2025,PURDUE UNIVERSITY,1092820.0,energy infrastructure
06-18-2025,UNIVERSITY OF NOTRE DAME DU LAC,1840000.0,energy infrastructure
06-18-2025,COUNTY OF ALLEN,869339.0,energy infrastructure
