Year,Lobbyist,Terminated,First Period Compensation,First Period Reimbursement,First Period Receptions,First Period Other Entertainment,First Period Other Gifts,First Period Expenditures All Members,First Period Gifts,"First Period Registration
Late Fees",First Period Other Expenses,First Period Total Expenditures
2025.0,"AES Clean Energy Development, LLC",,28080.0,1620.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29700.24
2025.0,"Alliance Coal, LLC.",,302.0,497.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.58
2025.0,Amazon.com Services LLC,,39434.49,147.31,0.0,0.0,0.0,0.0,0.0,664.0,0.0,40245.8
2025.0,American Bail Coalition Inc.,,3105.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3320.0
2025.0,"American Flood Coalition Action, Inc.",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.0,"Americans for Affordable Health Insurance Coalition, Inc.",,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0
2025.0,"Apex Clean Energy, Inc",,19100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19100.0
2025.0,CenterPoint Energy,,73087.5,89.02,0.0,127.76,0.0,0.0,569.43,676.4,0.0,74550.11
2025.0,Citizens Action Coalition of Indiana,,9250.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,566.6,10276.6
2025.0,Coalition for Genetic Data Protection,First Period,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,14440.0
2025.0,Coalition For Homelessness Intervention and Prevention,,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
2025.0,Coalition of Advanced Practice Nurses of Indiana,,37455.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37680.0
2025.0,Coalition of Growing and Suburban Schools,,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,23000.0
2025.0,"Community Solutions, Inc. Marion County Reentry Coalition",,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0
2025.0,Conservatives for a Clean Energy Future,,414.05,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,859.05
2025.0,Council for Citizens Against Government Waste (CCAGW),,120180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120180.0
2025.0,Doral Renewables LLC,,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0
2025.0,DTE Energy Co.,,1579.0,428.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.01
2025.0,Duke Energy Indiana LLC,,249338.0,0.0,0.0,382.65,0.0,0.0,4227.29,864.0,0.0,254811.94
