date,agency,filing_title,keyword_count
2020-11-04,Energy Department,Participation of Distributed Energy Resource Aggregations in Markets Operated by Regional Transmission Organizations and Independent System Operators; Notice of Correction in Federal Register of Compliance Deadline,0
2020-11-10,Energy Department,"American Electric Power Service Corporation v. Midcontinent Independent System Operator, Inc. Southwest Power Pool, Inc.; City of Prescott, Arkansas v. Southwestern Electric Power Company Midcontinent Independent System Operator, Inc.; Supplemental Notice of Technical Conference",0
2020-11-10,Energy Department,Combined Notice of Filings #1,0
2020-11-10,Energy Department,RTO/ISO Credit Principles and Practices Request for Technical Conference and Petition for Rulemaking; Notice of Technical Conference,2
2020-11-13,Energy Department,Combined Notice of Filings #2,0
2020-11-17,Energy Department,Combined Notice of Filings #1,0
2020-11-17,Energy Department,Sunshine Act Meeting Notice,0
2020-11-18,Energy Department,Combined Notice of Filings #1,0
2020-11-24,Energy Department,Combined Notice of Filings #1,0
2020-11-27,Energy Department,Notice of Request for Information (RFI) on Offshore Wind Transmission System Integration Research Needs,0
2020-12-01,Energy Department,Combined Notice of Filings #1,0
2020-12-01,Energy Department,Fiscal Year (FY) 2022-2023 Proposed Power and Transmission Rate Adjustments Public Hearing and Opportunities for Public Review and Comment,0
2020-12-01,Energy Department,Proposed Modifications To Open Access Transmission Tariff; Public Hearing and Opportunities for Public Review and Comment,0
2020-12-04,Energy Department,Combined Notice of Filings #1,0
2020-12-11,Energy Department,Combined Notice of Filings #1,0
2020-12-18,Energy Department,Combined Notice of Filings #1,0
2020-12-21,Energy Department,Combined Notice of Filings #1,0
2020-12-23,Energy Department,"Actions Regarding the Commission's Policy on Price Index Formation and Transparency, and Indices Referenced in Natural Gas and Electric Tariffs",0
2020-12-30,Energy Department,Qualifying Facility Rates and Requirements Implementation Issues Under the Public Utility Regulatory Policies Act of 1978,0
2021-01-06,Energy Department,Combined Notice of Filings #1,0
2021-01-07,Energy Department,Combined Notice of Filings #1,0
2021-01-08,Energy Department,Electricity Advisory Committee; Meeting,0
2021-01-12,Energy Department,Combined Notice of Filings #1,0
2021-01-13,Energy Department,Combined Notice of Filings #1,0
2021-01-14,Energy Department,"City of Pasadena, California; Notice of Filing",0
2021-01-14,Energy Department,"City of Azusa, California; Notice of Petition for Declaratory Order",0
2021-01-14,Energy Department,Combined Notice of Filings #1,0
2021-01-15,Energy Department,Sunshine Act Meeting Notice,0
2021-01-19,Energy Department,Combined Notice of Filings #1,0
2021-01-21,Energy Department,Managing Transmission Line Ratings,0
2021-01-21,Energy Department,"Neptune Regional Transmission System, Long Island Power Authority v. PJM Interconnection, L.L.C.; Notice of Complaint",1
