date,agency,filing_title,keyword_count
11/4/2020,Energy Department,Participation of Distributed Energy Resource Aggregations in Markets Operated by Regional Transmission Organizations and Independent System Operators; Notice of Correction in Federal Register of Compliance Deadline,0
11/10/2020,Energy Department,"American Electric Power Service Corporation v. Midcontinent Independent System Operator, Inc. Southwest Power Pool, Inc.; City of Prescott, Arkansas v. Southwestern Electric Power Company Midcontinent Independent System Operator, Inc.; Supplemental Notice of Technical Conference",0
11/10/2020,Energy Department,Combined Notice of Filings #1,0
11/10/2020,Energy Department,RTO/ISO Credit Principles and Practices Request for Technical Conference and Petition for Rulemaking; Notice of Technical Conference,2
11/13/2020,Energy Department,Combined Notice of Filings #2,0
11/17/2020,Energy Department,Combined Notice of Filings #1,0
11/17/2020,Energy Department,Sunshine Act Meeting Notice,0
11/18/2020,Energy Department,Combined Notice of Filings #1,0
11/24/2020,Energy Department,Combined Notice of Filings #1,0
11/27/2020,Energy Department,Notice of Request for Information (RFI) on Offshore Wind Transmission System Integration Research Needs,0
12/1/2020,Energy Department,Combined Notice of Filings #1,0
12/1/2020,Energy Department,Fiscal Year (FY) 2022-2023 Proposed Power and Transmission Rate Adjustments Public Hearing and Opportunities for Public Review and Comment,0
12/1/2020,Energy Department,Proposed Modifications To Open Access Transmission Tariff; Public Hearing and Opportunities for Public Review and Comment,0
12/4/2020,Energy Department,Combined Notice of Filings #1,0
12/11/2020,Energy Department,Combined Notice of Filings #1,0
12/18/2020,Energy Department,Combined Notice of Filings #1,0
12/21/2020,Energy Department,Combined Notice of Filings #1,0
12/23/2020,Energy Department,"Actions Regarding the Commission's Policy on Price Index Formation and Transparency, and Indices Referenced in Natural Gas and Electric Tariffs",0
12/30/2020,Energy Department,Qualifying Facility Rates and Requirements Implementation Issues Under the Public Utility Regulatory Policies Act of 1978,0
1/6/2021,Energy Department,Combined Notice of Filings #1,0
1/7/2021,Energy Department,Combined Notice of Filings #1,0
1/8/2021,Energy Department,Electricity Advisory Committee; Meeting,0
1/12/2021,Energy Department,Combined Notice of Filings #1,0
1/13/2021,Energy Department,Combined Notice of Filings #1,0
1/14/2021,Energy Department,"City of Pasadena, California; Notice of Filing",0
1/14/2021,Energy Department,"City of Azusa, California; Notice of Petition for Declaratory Order",0
1/14/2021,Energy Department,Combined Notice of Filings #1,0
1/15/2021,Energy Department,Sunshine Act Meeting Notice,0
1/19/2021,Energy Department,Combined Notice of Filings #1,0
1/21/2021,Energy Department,Managing Transmission Line Ratings,0
1/21/2021,Energy Department,"Neptune Regional Transmission System, Long Island Power Authority v. PJM Interconnection, L.L.C.; Notice of Complaint",1
1/22/2021,Energy Department,"DTE Electric Company v. Midcontinent Independent System Operator, Inc. and International Transmission Company, LLC; Notice of Complaint",0
1/26/2021,Energy Department,Combined Notice of Filings #1,0
1/26/2021,Energy Department,Accounting and Reporting Treatment of Certain Renewable Energy Assets,0
2/1/2021,Energy Department,Combined Notice of Filings #1,0
2/5/2021,Energy Department,Combined Notice of Filings #1,0
2/18/2021,Energy Department,Sunshine Act Meetings,0
2/19/2021,Energy Department,"Green Development, LLC v. New England Power Company, Narragansett Electric Company; Notice of Complaint",0
2/23/2021,Energy Department,Hecate Energy Greene County 3 LLC v. Central Hudson Gas & Electric Corp. and New York Independent System Operator Inc.; Notice of Complaint,0
2/24/2021,Energy Department,Commission Information Collection Activities (FERC-516G); Comment Request; Revision and Extension,1
2/24/2021,Energy Department,RTO/ISO Credit Principles and Practices; Credit Reforms in Organized Wholesale Electric Markets Supplemental Notice of Technical Conference,2
2/25/2021,Energy Department,Central Valley Project-Rate Order No. WAPA-194,0
3/2/2021,Energy Department,Safe Harbor Policy for Data Providers to Price Index Developers,0
3/2/2021,Energy Department,"RTO/ISO Credit Principles and Practices, Credit Reforms in Organized Wholesale Electric Markets; Supplemental Notice of Technical Conference",2
3/4/2021,Energy Department,RTO/ISO Credit Principles and Practices; Credit Reforms in Organized Wholesale Electric Markets; Supplemental Notice of Technical Conference,2
3/11/2021,Energy Department,Combined Notice of Filings #1,0
3/16/2021,Energy Department,Sunshine Act Meeting,0
3/17/2021,Energy Department,Offshore Wind Integration in RTOs/ISOs; Notice Inviting Post-Technical Conference Comments,2
3/19/2021,Energy Department,"Climate Change, Extreme Weather, and Electric System Reliability; Supplemental Notice of Technical Conference Inviting Comments",0
3/23/2021,Energy Department,Combined Notice of Filings #1,0
3/25/2021,Energy Department,Participation of Aggregators of Retail Demand Response Customers in Markets Operated by Regional Transmission Organizations and Independent System Operators,0
3/30/2021,Energy Department,Participation of Distributed Energy Resource Aggregations in Markets Operated by Regional Transmission Organizations and Independent System Operators,0
4/12/2021,Energy Department,Combined Notice of Filings #1,0
4/12/2021,Energy Department,Commission Information Collection Activities (FERC-516G); Comment Request; Revision and Extension,1
4/14/2021,Energy Department,Combined Notice of Filings #1,0
4/16/2021,Energy Department,"Holy Cross Electric Association, Inc.; Notice of Petition for Declaratory Order",0
