date,agency,filing_title,keyword_count
2023-10-12,Energy Department,Combined Notice of Filings # 1,0
2023-10-17,Energy Department,Sunshine Act Meetings,0
2023-10-18,Energy Department,Combined Notice of Filings # 1,0
2023-10-19,Energy Department,Combined Notice of Filings #1,0
2023-10-23,Energy Department,Combined Notice of Filings #1,0
2023-10-24,Energy Department,Combined Notice of Filings # 1,0
2023-10-25,Energy Department,Combined Notice of Filings # 1,0
2023-10-26,Energy Department,Department of Energy Acquisition Regulation (DEAR),0
2023-10-27,Energy Department,Combined Notice of Filings #1,0
2023-10-27,Energy Department,Filing Process and Data Collection for the Electric Quarterly Report,0
2023-10-30,Energy Department,Reliability Standards To Address Inverter-Based Resources,0
2023-10-30,Energy Department,"Notice of Issuance of Final Power Marketing Policy, for the Jim Woodruff System Project",0
2023-11-03,Energy Department,Combined Notice of Filings #1,0
2023-11-03,Energy Department,Reliability Technical Conference; Second Supplemental Notice of Technical Conference,0
2023-11-06,Energy Department,Combined Notice of Filings #2,0
2023-11-07,Energy Department,Proposed Modifications to Open Access Transmission Tariff; Public Hearing and Opportunities for Public Review and Comment,0
2023-11-09,Energy Department,Combined Notice of Filings #1,0
2023-11-13,Energy Department,Combined Notice of Filings #1,0
2023-11-15,Energy Department,Combined Notice of Filings #1,0
2023-11-20,Energy Department,Combined Notice of Filings #1,0
2023-11-21,Energy Department,Reliability Technical Conference; Notice Inviting Post-Technical Conference Comments,0
2023-11-22,Energy Department,"Wabash Valley Power Association, Inc.; Order Establishing Additional Briefing Procedures",0
2023-11-27,Energy Department,Salt Lake City Area Integrated Projects and Colorado River Storage Project-Rate Order No. WAPA-206,0
2023-11-28,Energy Department,Combined Notice of Filings #1,0
2023-12-06,Energy Department,Combined Notice of Filings #1,0
2023-12-07,Energy Department,Combined Notice of Filings #1,0
2023-12-07,Energy Department,Commission Information Collection Activities (FERC-516H) Comment Request; Extension,1
2023-12-20,Energy Department,Joint Federal-State Task Force on Electric Transmission; Notice Announcing Meeting and Inviting Agenda Topics,0
2023-12-20,Energy Department,"THSI bn, LLC; Notice of Filing",0
2023-12-21,Energy Department,Combined Notice of Filings #1,0
2023-12-21,Energy Department,Commission Information Collection Activities (FERC-717); Comment Request; Extension,1
2023-12-26,Energy Department,Combined Notice of Filings #1,0
2023-12-27,Energy Department,Combined Notice of Filings #1,0
2023-12-28,Energy Department,Combined Notice of Filings #1,0
2024-01-08,Energy Department,Civil Nuclear Credit Program and Recapture of Credits,0
2024-01-12,Energy Department,Combined Notice of Filings #1,0
2024-01-16,Energy Department,Combined Notice of Filings #1,0
2024-01-19,Energy Department,Combined Notice of Filings #1,0
2024-01-19,Energy Department,"Central Arizona Project, Colorado River Storage Project, Loveland Area Projects, Pacific Northwest-Pacific Southwest Intertie Project, and Parker-Davis Project-Rate Order No. WAPA-215",0
2024-01-23,Energy Department,Combined Notice of Filings #1,0
2024-01-25,Energy Department,Combined Notice of Filings # 1,0
2024-01-29,Energy Department,Combined Notice of Filings #1,0
2024-02-02,Energy Department,Combined Notice of Filings #1,0
2024-02-06,Energy Department,Combined Notice of Filings #1,0
2024-02-07,Energy Department,"Loveland Area Projects, Western Area Colorado Missouri Balancing Authority, and Colorado River Storage Project-Rate Order No. WAPA-214",0
2024-02-08,Energy Department,Combined Notice of Filings #2,0
2024-02-09,Energy Department,Application for Authorization To Export Electric Energy; Altop Energy Trading LLC,0
2024-02-09,Energy Department,Application for Renewal of Authorization To Export Electric Energy; Brookfield Renewable Trading and Marketing LP,0
2024-02-14,Energy Department,Combined Notice of Filings #1,0
2024-02-15,Energy Department,Combined Notice of Filings #1,0
2024-02-16,Energy Department,Combined Notice of Filings #1,0
2024-02-21,Energy Department,Combined Notice of Filings #1,0
2024-02-22,Energy Department,Combined Notice of Filings #1,0
2024-02-26,Energy Department,"Enforcement of Statutes, Orders, Rules, and Regulations",0
2024-02-29,Energy Department,Viridon Midcontinent LLC; Notice of Institution of Section 206 Proceeding and Refund Effective Date,0
2024-02-29,Energy Department,Combined Notice of Filings #1,0
2024-02-29,Energy Department,Combined Notice of Filings # 1,0
2024-03-04,Energy Department,Combined Notice of Filings #1,0
2024-03-07,Energy Department,Increasing Market and Planning Efficiency Through Improved Software; Notice of Technical Conference: Increasing Real-Time and Day-Ahead Market and Planning Efficiency Through Improved Software,0
2024-03-11,Energy Department,Combined Notice of Filings #1,0
2024-03-19,Energy Department,Sunshine Act Meetings,0
2024-03-19,Energy Department,Combined Notice of Filings #1,0
2024-03-26,Energy Department,Combined Notice of Filings #1,0
2024-03-28,Energy Department,Compensation for Reactive Power Within the Standard Power Factor Range,0
2024-03-29,Energy Department,"Application for Authorization To Export Electric Energy; ENGIE Energy Marketing NA, Inc.",0
2024-04-04,Energy Department,Combined Notice of Filings #1,0
2024-04-05,Energy Department,Energy Conservation Program: Test Procedure for Central Air Conditioners and Heat Pumps,0
2024-04-05,Energy Department,"Central Arizona Project, Colorado River Storage Project, Loveland Area Projects, Pacific Northwest-Pacific Southwest Intertie Project, and Parker-Davis Project-Rate Order No. WAPA-215",0
2024-04-10,Energy Department,Combined Notice of Filings #1,0
2024-04-11,Energy Department,Combined Notice of Filings #1,0
2024-04-15,Energy Department,Combined Notice of Filings #1,0
2024-04-16,Energy Department,Improvements to Generator Interconnection Procedures and Agreements,0
2024-04-22,Energy Department,Combined Notice of Filings #1,0
2024-04-23,Energy Department,Sunshine Act Meetings,0
2024-04-24,Energy Department,Commission Information Collection Activities (FERC-921); Comment Request; Extension,1
2024-04-26,Energy Department,Combined Notice of Filings #1,0
2024-05-01,Energy Department,Coordination of Federal Authorizations for Electric Transmission Facilities,0
2024-05-01,Energy Department,Combined Notice of Filings #1,0
2024-05-03,Energy Department,Combined Notice of Filings #1,0
2024-05-06,Energy Department,Standards for Business Practices and Communication Protocols for Public Utilities,0
2024-05-07,Energy Department,Combined Notice of Filings #2,0
2024-05-07,Energy Department,"Notice of Attendance at the Southwest Power Pool, Inc. Regional State Committee Meeting, Quarterly Joint Stakeholder Meeting, and Members' Committee/Board of Directors' Meetings",0
2024-05-08,Energy Department,Combined Notice of Filings #1,0
2024-05-15,Energy Department,Combined Notice of Filings #1,0
2024-05-16,Energy Department,Combined Notice of Filings #1,0
2024-05-21,Energy Department,Combined Notice of Filings #1,0
2024-05-22,Energy Department,Combined Notice of Filings #1,0
2024-05-22,Energy Department,Notice of Staff-Led Workshop; Innovations and Efficiencies in Generator Interconnection,0
2024-05-22,Energy Department,Electric Vehicle Working Group,0
2024-05-29,Energy Department,Request for Information Regarding the Advanced Technology Vehicles Manufacturing Loan Program,0
2024-05-29,Energy Department,Applications for Permits To Site Interstate Electric Transmission Facilities,0
2024-05-31,Energy Department,Combined Notice of Filings #1,0
2024-06-04,Energy Department,"Loveland Area Projects, Western Area Colorado Missouri Balancing Authority, and Colorado River Storage Project-Rate Order No. WAPA-214",0
2024-06-04,Energy Department,Combined Notice of Filings #1,0
2024-06-06,Energy Department,Combined Notice of Filings #1,0
2024-06-11,Energy Department,Building for the Future Through Electric Regional Transmission Planning and Cost Allocation,0
2024-06-11,Energy Department,Combined Notice of Filings #1,0
2024-06-17,Energy Department,"Premium Energy Holdings, LLC; Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing Applications",0
2024-06-17,Energy Department,Combined Notice of Filings #2,0
2024-06-17,Energy Department,Combined Notice of Filings #1,0
2024-06-18,Energy Department,Combined Notice of Filings #1,0
2024-06-21,Energy Department,Notice To Hold Proceeding in Abeyance,0
2024-06-24,Energy Department,Combined Notice of Filings #1,0
2024-06-25,Energy Department,"Application for Renewal of Authorization To Export Electric Energy; EDECSAMEX, S.A. de C.V.",0
2024-07-01,Energy Department,Combined Notice of Filings #1,0
2024-07-02,Energy Department,Commission Information Collection Activities (Ferc-921); Comment Request; Extension,1
2024-07-03,Energy Department,Innovations and Efficiencies in Generator Interconnection; Supplemental Notice of Staff-Led Workshop,0
2024-07-03,Energy Department,North American Electric Reliability Corporation; Order Approving Extreme Cold Weather Reliability Standard EOP-012-2 and Directing Modification,0
2024-07-05,Energy Department,Electric Reliability Organization Performance Assessments; Withdrawal,0
2024-07-08,Energy Department,Combined Notice of Filings #1,0
2024-07-09,Energy Department,Combined Notice of Filings #2,0
2024-07-11,Energy Department,Combined Notice of Filings #1,0
2024-07-12,Energy Department,Combined Notice of Filings #1,0
2024-07-15,Energy Department,Implementation of Dynamic Line Ratings,0
2024-07-22,Energy Department,"Central Valley Project/Power, Transmission, and Ancillary Services and California-Oregon Transmission Project Transmission Service-Rate Order No. WAPA-207",0
2024-07-25,Energy Department,Combined Notice of Filings #1,0
2024-07-30,Energy Department,Combined Notice of Filings #1,0
2024-08-02,Energy Department,Combined Notice of Filings #1,0
2024-08-09,Energy Department,Commission Information Collection Activities (FERC-516G); Comment Request; Extension,1
2024-08-15,Energy Department,Combined Notice of Filings #1,0
2024-08-19,Energy Department,Combined Notice of Filings #1,0
2024-08-19,Energy Department,Request for Information Regarding Interregional and Offshore Wind Transmission,0
2024-08-20,Energy Department,Innovations and Efficiencies in Generator Interconnection; Second Supplemental Notice of Staff-Led Workshop,0
2024-08-26,Energy Department,Combined Notice of Filings #1,0
2024-08-26,Energy Department,Pick-Sloan Missouri Basin Program-Eastern Division-Rate Order No. WAPA-217,0
2024-08-27,Energy Department,Combined Notice of Filings #1,0
2024-08-28,Energy Department,Combined Notice of Filings #1,0
2024-09-03,Energy Department,Combined Notice of Filings #1,0
2024-09-04,Energy Department,Electric Vehicle Working Group,0
2024-09-05,Energy Department,Combined Notice of Filings #1,0
2024-09-06,Energy Department,Combined Notice of Filings #1,0
2024-09-10,Energy Department,Third Supplemental Notice for Staff-Led Workshop,0
2024-09-10,Energy Department,Combined Notice of Filings #1,0
2024-09-10,Energy Department,Combined Notice of Filings #2,0
2024-09-11,Energy Department,Combined Notice of Filings #1,0
2024-09-11,Energy Department,Energy Efficiency Resource Participation in RTO/ISO Markets; Notice of Request for Technical Conference,2
2024-09-12,Energy Department,Alliance for Tribal Clean Energy; Notice of Petition for Rulemaking and Intent To Hold Tribal Consultation Meetings,0
2024-09-13,Energy Department,Combined Notice of Filings #1,0
2024-09-17,Energy Department,Combined Notice of Filings #1,0
2024-09-19,Energy Department,Innovations and Efficiencies in Generator Interconnection; Notice Requesting Post-Workshop Comment,0
2024-09-19,Energy Department,Combined Notice of Filings #1,0
2024-09-20,Energy Department,Combined Notice of Filings #1,0
2024-09-24,Energy Department,Combined Notice of Filings #1,0
2024-09-25,Energy Department,Combined Notice of Filings #1,0
2024-09-26,Energy Department,Alliance for Tribal Clean Energy; Notice of Tribal Consultation,0
2024-09-26,Energy Department,Combined Notice of Filings #1,0
2024-09-27,Energy Department,"Application for Authorization To Export Electric Energy; Energia Sierra Juarez U.S., LLC",0
2024-10-01,Energy Department,Combined Notice of Filings #1,0
2024-10-03,Energy Department,Combined Notice of Filings #1,0
2024-10-07,Energy Department,Combined Notice of Filings #1,0
2024-10-07,Energy Department,Electronic Tariff Filings; Notice of Deployment of eTariff Test Sandbox,0
2024-10-08,Energy Department,Combined Notice of Filings #1,0
2024-10-09,Energy Department,Combined Notice of Filings #1,0
2024-10-11,Energy Department,Combined Notice of Filings #1,0
2024-10-15,Energy Department,Combined Notice of Filings #1,0
2024-10-15,Energy Department,"Midcontinent Independent System Operator, Inc., PJM Interconnection, L.L.C., Southwest Power Pool, Inc., ISO New England, Inc.; Notice of Extension of Time",2
2024-10-15,Energy Department,Reliability Technical Conference; Second Supplemental Notice of Commissioner-Led Technical Conference,0
2024-10-16,Energy Department,Combined Notice of Filings #1,0
2024-10-16,Energy Department,Sunshine Act Meetings,0
2024-10-17,Energy Department,Combined Notice of Filings #1,0
2024-10-17,Energy Department,Commission Information Collection Activities (FERC-516G); Comment Request; Extension,1
2024-10-18,Energy Department,Combined Notice of Filings #1,0
