source,id,title,agencies,publication_date,type,comments_close_on,html_url
FR,2025-00636,Framework for Artificial Intelligence Diffusion,"Commerce Department, Industry and Security Bureau",2025-01-15,Rule,,https://www.federalregister.gov/documents/2025/01/15/2025-00636/framework-for-artificial-intelligence-diffusion
FR,2024-20676,"Notice of Request for Information (RFI) on Frontiers in AI for Science, Security, and Technology (FASST) Initiative",Energy Department,2024-09-12,Notice,,https://www.federalregister.gov/documents/2024/09/12/2024-20676/notice-of-request-for-information-rfi-on-frontiers-in-ai-for-science-security-and-technology-fasst
FR,2025-14218,Promoting the Export of the American AI Technology Stack,Executive Office of the President,2025-07-28,Presidential Document,,https://www.federalregister.gov/documents/2025/07/28/2025-14218/promoting-the-export-of-the-american-ai-technology-stack
FR,2025-09796,Deploying Advanced Nuclear Reactor Technologies for National Security,Executive Office of the President,2025-05-29,Presidential Document,,https://www.federalregister.gov/documents/2025/05/29/2025-09796/deploying-advanced-nuclear-reactor-technologies-for-national-security
FR,2025-05936,Request for Information on Artificial Intelligence Infrastructure on DOE Lands,Energy Department,2025-04-07,Notice,,https://www.federalregister.gov/documents/2025/04/07/2025-05936/request-for-information-on-artificial-intelligence-infrastructure-on-doe-lands
FR,2025-03206,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-AI Infrastructure Alliance, Inc.","Justice Department, Antitrust Division",2025-02-28,Notice,,https://www.federalregister.gov/documents/2025/02/28/2025-03206/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-ai-infrastructure
FR,2025-02779,Fee Schedules; Fee Recovery for Fiscal Year 2025,Nuclear Regulatory Commission,2025-02-19,Proposed Rule,,https://www.federalregister.gov/documents/2025/02/19/2025-02779/fee-schedules-fee-recovery-for-fiscal-year-2025
FR,2025-01395,Advancing United States Leadership in Artificial Intelligence Infrastructure,Executive Office of the President,2025-01-17,Presidential Document,,https://www.federalregister.gov/documents/2025/01/17/2025-01395/advancing-united-states-leadership-in-artificial-intelligence-infrastructure
FR,2024-04867,Announcement of Approved International Trade Administration Trade Mission,"Commerce Department, International Trade Administration",2024-03-07,Notice,,https://www.federalregister.gov/documents/2024/03/07/2024-04867/announcement-of-approved-international-trade-administration-trade-mission
FR,2023-27609,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-AI Infrastructure Alliance, Inc.","Justice Department, Antitrust Division",2023-12-15,Notice,,https://www.federalregister.gov/documents/2023/12/15/2023-27609/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-ai-infrastructure
